Date,C/E,Year,Month,Day,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1993-01-01,0,1993,1,1,0.0,3.1035809655235584,1.0242261242191075,1.0391351351351352,0.0,0.0448845262458181,0.0,0.207691416656487,1.54382836375177,0.0272719160347941,1.07112323250602,3.3015864792295895e-20,0.6793019508922671,0.0397329738439107,0.0234823406341208,0.0508122085753524,0.0503341163353975,0.229539732637252,7.63320891476859e-05,2.3099732111191202,0.0557277740379722,0.000133406162997499,1.57868655659454e-21,0.0,1.95136626606842,2.13405738521724e-06,1.66163886591711e-19,0.649265075636662,-0.0,0.684784665999354,1.56651174850967,0.5705659180799879,0.519278930486446,1.17873151286066,0.672208468559734,0.46676622860878103,7.15210885992323e-05,0.549692329839362,1.19273563332298,0.360276363019363,1.16217988548818,0.0596288651110945,1.8284689490350903,0.0,8.45555782075931,0.676184556283974,0.125919312858256
1993-01-02,0,1993,1,2,0.0,4.002755680290216,0.5864533993324363,0.9951268191268192,0.0,0.0159746157610423,0.0,0.13879336210213597,1.5278757506473402,0.0125809605015849,1.05393829615879,2.74065627658145e-20,0.639910621942828,0.0305168338694391,0.0217579388693897,0.0192663054594144,0.0536857472507738,0.22911118113191,3.4196052958590003e-05,2.24322574135351,0.0309602192419911,7.316496466399859e-05,1.5786865591262499e-21,0.0,1.88825656139706,2.14371647271064e-06,1.10748316978847e-17,0.5341159387105731,-0.0,0.674399574049508,1.53804541916917,0.547120836634525,0.45094390213542207,1.09053664677605,0.56309390382042,0.39865271434333294,6.97920220505346e-05,0.5385143084899711,1.1125903172721001,0.35997961271096296,1.15068827902596,0.0520352776260665,1.8034190363376499,0.0,7.24197457351791,0.619295505274161,0.10386025974808899
1993-01-03,0,1993,1,3,0.0,5.792133910262916,1.1097540280515918,1.015783783783784,0.0,0.00568544151085293,0.0,0.0927263298277101,1.5155294902585,0.0058037934031683605,1.03642018924076,2.25910798335513e-20,0.595784958190102,0.024384141448227994,0.0202455509349185,0.00730514452534143,0.0570386159399133,0.22861457734032697,1.5280931720803e-05,2.17855004119783,0.0172003133539856,4.01264224531002e-05,1.5786865611443397e-21,0.0,1.85244939906571,2.15052936292788e-06,2.38673595618124e-20,0.434625095364161,-0.0,0.666166199788239,1.4987320803729098,0.5246936670924139,0.398977897663383,1.0050715376594201,0.46677969287441795,0.336990232840987,-0.0017586168451663,0.529406984926401,1.03424364798622,0.35983123755676294,1.13877300484199,0.0451768009703061,1.70964602538726,0.0,26.1089928373392,0.567132690207062,0.0858025145786547
1993-01-04,0,1993,1,4,0.0,5.668076024309069,0.9190271598916796,1.0041081081081078,0.0,0.00202347559758899,0.0,0.0619554672881064,1.4987940706985199,0.0026773804670199197,1.01821885886596,1.86689779862325e-20,0.556803592664741,0.020088122220042,0.0189098078154736,0.00276986870201121,0.0603920634639131,0.22807152816464699,6.80132148038693e-06,2.115835867863,0.00955583606148787,2.20068414749965e-05,1.5786865627532097e-21,0.0,1.76660055154872,2.15802398665114e-06,8.1417902705331e-20,0.34975123194613394,-0.0,0.659369203215267,1.45409615330143,0.503424399105659,0.35651198705162895,0.923391634003001,0.38322158152158403,0.282992372283563,0.00052358669034942,0.521622134444859,0.958817773536987,0.35975704997966296,1.12609500908389,0.0390579735355812,1.6769767969323799,0.0,36.9368737149131,0.519326263432895,0.0709892512412355
1993-01-05,0,1993,1,5,0.0,3.054979543397047,1.0372094700854315,0.9825530145530146,0.0,0.000720164561753422,0.0,0.0413933007446052,1.48162364749383,0.00123511739069958,0.999327258975899,1.54030611180705e-20,0.5188996417751439,0.016933376992883997,0.0177226320610165,0.00105024241471007,0.0637457816824692,0.227477077548524,3.04034156003731e-06,2.05498019926489,0.005308856933447421,1.20693807745203e-05,1.5786865639797698e-21,0.0,1.6979371959085199,2.1646619882284697e-06,1.3272279357654099e-20,0.278534062318661,-0.0,0.6535746370254979,1.40305490182608,0.483350215886684,0.319897940272687,0.8460656529019142,0.31204255004827197,0.23603737165825697,0.000369454110094143,0.5148866379716679,0.886868536188367,0.359719956191113,1.11287655071656,0.033650925712153,1.66358039239743,0.0,26.246540101057,0.475528182257829,0.0588135878637296
1993-01-06,0,1993,1,6,0.3015275087593445,3.4701316251885177,1.1507359160699049,1.0427276507276508,0.0800615988343927,0.0545598410589628,0.0,0.127561583164329,1.4646784730905402,0.0238985972240515,0.980113902492557,1.2688932665121599e-20,0.488943804984231,0.0229890128649208,0.0166614753776991,0.0732672492118547,0.0670996264884423,0.257032855909762,1.3572199965936399e-06,1.99589395881939,0.0407630630634714,6.6193030220096295e-06,1.5786865650714098e-21,0.0,1.65247462009985,2.17105209393895e-06,1.9317627546921198e-21,0.231959403589844,-0.0,0.648423417689418,1.35177636411648,0.550579834604473,0.36136460009872795,0.7774027680670831,0.265653331707019,0.19888071383568398,0.25256745149753695,0.508858686648062,0.8225292971574509,0.35970140929683797,1.09881192083355,0.028908833072885,1.65634982769777,0.0,22.431463016883303,0.4354134185433479,0.0533145930793665
1993-01-07,0,1993,1,7,11.069357471894493,8.036535169255318,0.4490051757029759,1.4019792099792099,3.9711578838608097,4.99617907793474,3.6464614266978903,3.75426964303983,1.4479305601412702,1.54581905455302,0.9608030283570859,1.0552964018257e-20,0.8214204185896251,1.71949218480902,0.463185021616098,4.17883875801588,0.159352425754076,1.46176736122322,0.11986581340932001,1.9387812477037,1.7737610254236902,1.56242827130609,1.5786865658839e-21,0.0,1.6619536651328102,7.77276860270435,1.9211191595006698,0.6441298060498771,-0.0,0.8248095133475409,1.3250095327866798,3.92409520978467,3.02503407740987,0.8588190481164479,0.71523877336329,0.28731577256623303,9.2617185138414,0.970507782767567,0.900083655169148,2.06793664053707,1.0844549892937,0.0247750790370697,1.6728897404749399,5.133593581820099,52.016553061311704,0.779063653982614,0.838267434844755
1993-01-08,0,1993,1,8,0.7963519212502139,6.237606610071647,1.0947169221748734,2.0198918918918918,0.27953282561801,2.32011482610943,2.3561855874266002,2.7720755485700397,1.4313970684115702,1.28094727470739,0.9417271162319109,8.70096392637628e-21,0.8024114805269559,0.523554921127621,0.21690231587476502,2.43603680286827,0.11758455947777001,0.314578911879439,0.0552870229985203,1.8837681299733702,1.10903721605202,0.0940512551649362,1.57868656653151e-21,0.0,1.74859085990682,0.00158910643042036,4.22611923385271e-20,1.06891410671236,-0.0,1.2840840601298897,1.30196589739378,0.794659662381559,2.0202508869701,0.975245210288569,1.14008156020477,0.38375012426863997,0.66644477781659,1.69249672862874,1.00856098168038,1.5586160501083501,1.06918753323809,0.0211893457595506,1.6001415045578402,2.10815150399988,57.1798675343353,0.9021968652704209,0.6756927805630552
1993-01-09,0,1993,1,9,0.35494692116428705,3.2556086336256995,0.7529634710662366,1.2115758835758836,0.122077570403565,1.0460785852733199,1.45281658064697,1.96996153421747,1.41551021571336,1.03980533719568,0.923188764815568,7.20675846373434e-21,0.772763106960437,0.23618765904669103,0.0987116227072053,1.33284966518981,0.100764090077914,0.26554908783222697,0.025342218024917002,1.8307340163333898,0.670283978639649,0.0514439869487377,1.5786865670478198e-21,0.0,1.88829378496124,2.23371665110174e-06,1.26243652667416e-18,1.34834650547237,-0.0,1.6372456013906598,1.28181184910943,0.6714810656846609,1.36034602021164,1.0736768258465799,1.39053057384687,0.450322046777439,0.29705580928748604,1.35085523969004,1.0985447561692099,0.9738862954029591,1.05336474905989,0.0180915389639649,1.5698991456146898,0.939238842779603,40.445893124556896,0.9078314034026759,0.540285166052877
1993-01-10,0,1993,1,10,16.23750385475703,6.003808177500068,0.22768400626646265,3.9733222453222456,7.706048575421231,8.30321691802209,7.34734168361359,6.6993462292272605,1.4087598228278,3.1898804222367,0.9055523793059799,6.011622702111279e-21,1.5862701222737,2.5778638100976803,7.583827539022289,7.04602537121285,0.24903492838406302,3.9790373966298698,1.42011888893172,1.78005697608661,3.6133315697929196,3.686441635534,1.57868656745959e-21,0.0,2.1039100259775503,13.8746489662426,4.430751159172599,2.11341482508675,-0.0,1.59716944398866,1.2680319111591,6.16983492566834,4.914503553899019,1.3451479188946203,2.17579248784986,0.637785343881919,13.5856820868276,1.8362949402334898,1.3524983502027,5.6808488114483495,1.03786127001591,0.24399450875243,1.6205159106347502,8.60559997093598,50.6725454461496,1.5491372667984098,1.84562814510294
