ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
1,0.0,9437.4151265935,23966.590265705,32637.4913144063,105659.85570385301,86178.8164667628,68773.8958257027,78023.5869410213,78439.0200494357,120669.972314729,157014.780001316,218234.273135987,170721.377823293,181540.56629954602,156730.55077985,121334.299019345,92869.36911176,157453.05176511698,150898.477061123,123741.94011459,152973.287791778,1285200.26305247,1051803.49783336,1098812.07949919,1074906.84025979,1078339.54381498,1058225.08230185,1026222.34518809,1022009.48629116,1031806.06362798,1017826.14785266,1015557.33553981,1016772.27912137,976974.8313172159,979941.768092411,923459.392788366,919278.2826581029,927539.604995018,926948.1446046741,925395.6169869329,892340.857526736,901558.121712457,917261.321720468,951639.1328254541,926103.566117535,480422.055511016,663640.447364625,703783.0420995591,1001240.68256287,864267.35878092,773328.470453829,791526.015907839,809273.2589818209,824758.646070443,724586.402623063,566163.040624784,564404.971861513,556170.46670153,551780.148932097,546607.668959263,539810.20764605,509954.63420213,566657.487943067,575510.0111476571,643370.089306843,1086794.92426188,1089092.0392374,1083076.37340476,1230980.97562484,1254066.13611197,1258216.06252108,1344829.42623471,1343074.12480326,1343377.57208906,926996.905192203,950800.18301553,1018485.66639592,741811.311171795,901475.97626987,1346970.46180155,1275676.03775486,1261894.2572491001,1253645.05026252,1235990.39041345,1219504.75468962,1233926.87838731,1060155.23971695,998008.90124281,1178596.56769676,1200121.77692007,935447.109532316,950651.3206901221,966449.960406427,969940.943208365,974212.107480179,857354.827822768,978175.552058235,811532.84697148,800565.7797206759,827537.0982612959,455871.31340234296,606460.455561895,684058.812105663,692868.7740239489,690557.103146675,711952.599461697,733255.355846848,745083.251829832,575878.062656743,577969.979133295,603319.583309607,612120.057485568,536824.043879493,494114.027741437,483370.10728525603,484014.54355594295,1585102.57137017,1583194.38062442,1564564.2349523,1633067.86074665,1616953.03260997,1719862.93844085,1677199.14876607,1670894.26905667,1700673.33305065,1716508.8834123001,1487591.879673,1445678.67840148,1442247.34899946,1434918.38333602,1473166.31971711,1368541.56817258,1385298.7064376,1381647.2801338,1396517.25433735
2,9437.4151265935,0.0,14535.171374648,23592.446668664703,98288.3812481242,78227.1267719329,60771.8648899189,68880.3849077267,69228.7072865509,112391.107416289,149769.161689948,214229.08837092,162643.231282285,173081.205362731,148679.602818826,112607.16654939801,84355.57349346639,148020.239805913,141622.562879728,114428.69897743099,143736.125256044,1279937.84103833,1046178.38954338,1093675.47373994,1069577.46489487,1073010.49232452,1052215.6241639,1020170.48080167,1016013.9186165001,1025498.50552519,1011525.13319713,1009402.50353697,1010374.73996621,970436.4752081991,973428.093036167,916945.219545737,912638.73500394,921147.2459382259,920568.041588234,919046.35530722,885923.873811626,894709.203635296,910566.726257358,945293.483283725,919925.3057668109,473186.286737365,656455.717660994,696616.887428556,994565.6106705209,857006.1017360791,766176.8953795859,784398.45349595,802138.9503576241,817613.4439324541,717452.488186033,558822.716884032,557072.174010966,548863.827273439,544481.655533392,539310.933098934,532466.2676999411,502695.32106613205,559026.963145615,568438.545762445,636243.578614373,1080093.52916755,1082775.44816126,1076875.03119092,1225524.84761767,1250110.77273249,1254232.41751048,1341461.15227203,1339646.45342162,1339912.76261534,921434.365892944,945318.241759198,1013329.17957086,735314.5251497441,895721.8786848009,1343257.96972427,1271868.23861318,1256785.79085604,1248476.65710875,1230940.18119379,1214994.55541035,1229702.63604928,1055106.46389182,992666.642849924,1173995.83337229,1195908.36668143,929481.4957217191,944731.4187804491,960558.2265531641,963848.368252066,968078.650950562,851118.492274652,972451.594218866,804901.0614822421,793740.8529778529,820733.3302668859,449650.520257845,599946.775715371,677634.028224392,686069.161113445,683773.811990985,705133.617311501,726490.059335907,738245.37152921,569095.430285892,571136.935420129,596454.189010488,605228.695154729,530045.904832256,487608.862354605,476744.51360426896,477225.34075391706,1581957.71426495,1579963.66490227,1561603.65149075,1630307.11996778,1613770.99355785,1716400.97242233,1673758.51562154,1667425.16985571,1696993.09886985,1712806.53643088,1483543.41245157,1441694.06212421,1438213.31415422,1431081.56497787,1469294.3067001998,1364007.21466138,1381056.03948869,1377388.91756527,1392318.63701064
3,23966.590265705,14535.171374648,0.0,11528.948918594298,88206.9240184309,67195.44908340111,49921.6878338874,55230.687680507996,55405.416426139105,100428.14049403,139605.94468247402,209374.774867386,150905.393450379,160606.561079496,136253.098464603,99137.915404935,71357.6578197367,133534.058787093,127539.685688146,100275.129900889,129426.28532055301,1272491.08068787,1038170.96262118,1086447.52510016,1062043.05747543,1065476.22362414,1043586.90739982,1011476.44085436,1007411.50599692,1016388.97513069,1002427.66131541,1000542.67347942,1001120.35653017,960956.671167363,963988.2523799171,907510.9098624509,902999.9525582229,911911.201883713,911352.046874816,909880.807698952,876652.113388099,884729.1902183141,900838.051058628,936130.6631136971,911037.9210031921,462649.28283804795,645955.70220309,686140.505611966,984860.0028765091,846350.066458467,755713.8903111941,773972.694741018,791699.664842346,807154.1628662379,707026.16572614,548084.022168642,546346.5502200071,538184.217144849,533816.87947365,528650.508563848,521728.431666729,492108.605713295,547799.451056721,558147.121571551,625844.497475437,1070337.2804092,1073645.80652671,1067933.00679497,1217771.94757252,1244746.80151713,1248823.29078066,1337015.28396019,1335107.21854132,1335315.00441235,913543.574294802,937553.968431378,1006078.87092492,725935.772915332,887525.4835286479,1338269.33707225,1266735.52898391,1249587.2545751,1241182.96150997,1223836.99590506,1208753.81527529,1223914.66071835,1048023.57946673,985120.7626748721,1167615.10152076,1190140.9636352,920937.9818048279,936259.970112595,952130.3685242641,955094.692488811,959258.13654458,842146.100330685,964293.4407920421,795289.24920103,783813.3456771891,810836.80074782,440817.119390076,590571.234341457,668385.186088798,676201.703134967,673933.749512225,695230.533195409,716671.6042818159,728305.244848327,559284.10399164,561241.394365436,586498.125214958,595227.340167852,520254.232529383,478286.33168338897,467226.75146842794,467434.963205457,1577844.85530411,1575716.0701398998,1557781.31890718,1626793.47159142,1609597.71629726,1711781.69329008,1669175.16904223,1662797.39459547,1692031.17141834,1707808.90525657,1478013.12768874,1436267.71539429,1432709.06178611,1425889.5740653998,1464043.93663535,1357715.24164916,1375225.71027223,1371533.99125416,1386557.25027713
4,32637.4913144063,23592.446668664703,11528.948918594298,0.0,76681.25500212889,55746.7467687251,38423.4900052316,45388.819456559104,45842.8460848108,89272.7396953108,128093.519383441,198707.31525268,139692.569803612,149716.930149214,135426.8842023,96652.91977858961,70230.94003367401,125755.286366531,118349.819487231,91278.3334814154,124305.62162166901,1261098.70250776,1026710.9180527,1075089.9496263,1050640.31429264,1054073.46267986,1032076.49887677,999962.634124767,995902.756579525,1004861.27184078,990900.161391716,989021.559856945,989591.42625596,949429.6884053929,952460.5704794871,895983.0851846059,891477.202589052,900382.3454661891,899823.292883015,898352.4770304629,865123.170609368,873224.4947120559,889318.871902211,924602.340503368,899516.049725322,451196.73240696,634501.714429241,674683.929185997,973340.049883632,834920.741165827,744256.3430940609,762510.610979269,780239.4338243,795696.613908604,695563.476889701,536663.7714041771,534924.123637175,526754.280797851,522384.548108512,517217.39449711295,510307.443027337,480663.728025391,536477.6554163271,546667.023823548,614377.497305888,1058819.8307116998,1062117.7729727,1056408.99549018,1206339.42745517,1233786.00871994,1237850.44541854,1326318.52225986,1324381.53354177,1324571.37829141,902097.481463561,926122.610113665,994718.834083019,714407.136768768,876048.148208579,1327410.2523982,1255837.26959451,1238232.58115044,1229813.49943978,1212498.07065214,1197580.96922628,1212846.13061612,1036690.19795287,973717.328958878,1156412.92180248,1179078.08967891,909433.275027127,924760.0095489359,940633.433209818,943578.1707010521,947738.675696063,830621.69578652,952819.002091253,783765.3136816879,772304.5466411479,799326.177981853,429300.834375939,579042.448655864,656856.388058563,664688.5703561,662419.068873917,683719.648089473,705156.0218540459,716796.9402862929,547767.073902293,549728.965554444,574989.736618287,583722.1560032379,508735.900615755,466757.40052241297,455699.279371996,455916.02665529994,1567249.96155675,1565077.51274475,1547283.97915565,1616402.43237884,1598982.58803899,1701025.23605397,1658430.18423272,1652039.02596515,1681174.28033355,1696941.67480533,1467005.03606961,1425287.15052276,1421708.29665201,1414972.0312562,1453109.8766774999,1346529.24480124,1364144.50931704,1360446.94516832,1375492.59319902
5,105659.85570385301,98288.3812481242,88206.9240184309,76681.25500212889,0.0,22011.7823879357,38385.7342056467,46231.543129976795,48140.9352368503,23854.0595067269,51499.9803779941,132691.451911274,66932.5244135805,80684.4711410016,151919.872761893,111784.03644784301,101782.49847625199,93765.14282581401,73854.6960383838,58327.4175898513,114588.78095623,1185739.85980883,950789.315736546,1000037.94646196,975213.4151704999,978646.054003355,955677.5613343491,923528.1293723991,919522.1010830641,928247.601720132,914290.523153897,912503.358114134,912941.3357824209,872750.4785982029,875784.059532726,819307.400877915,814798.25588106,823737.82418275,823183.4290914191,821725.5292391999,788471.71535905,796609.489077113,812648.153135687,847975.4464837959,822989.8304786859,374897.913667155,558169.617965139,598333.2021012229,896667.127412065,758720.8062185141,667895.3858484479,686122.468661725,703861.036320971,719332.874422138,619175.572972178,460555.60872418,458802.266760775,450585.714104749,446201.45782361296,441030.27134154295,434200.196795763,404408.265864716,461028.386351916,470188.575644575,537969.970511221,982153.9986861991,985496.938138963,979852.721466314,1130646.5333181003,1161833.88951839,1165804.6862441,1256341.50532227,1254187.57010351,1254242.22038593,826310.543522461,850463.053464905,919657.674740096,637740.038129454,799979.34280721,1256207.59308277,1184357.23537237,1163186.04146,1154646.54839722,1137582.60217424,1123992.61204226,1140068.55193733,961843.256537125,898293.300490453,1082601.30914464,1106352.83557216,833097.118530888,848471.090136265,864373.7257869741,867114.807824318,871241.1559182941,754062.8516142841,876771.7499573609,707084.780636672,695672.424579569,722686.2071418021,352868.631151831,502379.236938243,580216.142978039,588039.488953074,585764.0445645179,607079.52324555,628497.441833017,640167.487226347,471104.302256932,473083.91669896705,498361.848664787,507108.907933715,432068.972725274,390110.47649295896,379022.076524089,379247.496019934,1497960.90295141,1495465.08870197,1478722.52785474,1548603.66097579,1529535.38445366,1630506.92126156,1588005.53215592,1581516.06156095,1609910.79459899,1625598.19922008,1394638.79620479,1353138.4528031999,1349406.4049403,1343304.23906813,1381308.66150957,1272812.37098179,1291237.17175651,1287495.24428531,1302710.44519238
6,86178.8164667628,78227.1267719329,67195.44908340111,55746.7467687251,22011.7823879357,0.0,17455.6967693419,26109.1280565092,28271.1494736123,34976.3079327844,72614.6654060087,153205.566011681,84550.6458132741,96036.7672324202,138047.442342572,96839.76391006779,83066.14930499019,92250.84860134519,76470.7380833996,54328.970395070304,106441.741703194,1207691.76249067,972646.689078391,1022020.50685623,997159.3379842159,1000591.86661421,977352.8032417509,945181.6891183341,941208.833229212,949728.7318322309,935778.0440837741,934093.4992831809,934354.146842283,894047.75254319,897102.9947991341,840632.915770313,836007.887777318,845165.544132065,844621.019278602,843187.534533823,809884.320281659,817601.002253362,833803.345226294,869436.851287735,844575.0626781309,395455.37778915704,578761.42859947,618945.562716142,917832.1122266591,779174.2265462141,688518.778609572,706777.255863381,724504.249915406,739959.060997297,639830.760631962,480919.668936836,479179.282622006,471007.797318572,466637.85429815,461470.666960718,454563.131942084,424918.70392551704,480851.16685979994,490961.870355846,558649.8874776129,1003284.20417272,1006965.53231408,1001404.83071971,1152549.89711242,1183742.22264699,1187720.66822754,1278051.64268689,1275922.88945943,1275992.91659415,848200.8051685259,872376.64457098,941640.358189971,659111.286935211,821799.303235338,1278050.35470521,1206224.77517375,1185167.69847166,1176618.41142534,1159573.25554115,1145995.88853075,1162035.39821242,983838.965981917,920240.691687974,1104609.77548001,1128316.09662397,854810.084146377,870206.64712381,886121.988519812,888749.7707266359,892849.822439828,775618.064732947,898596.364670319,728317.9814296409,716705.286387516,743738.398435285,374555.362218373,523771.222214917,601662.0641263879,609121.2444475021,606864.39068403,628135.420049183,649608.223717724,661195.3730431279,492237.578883893,494159.198478609,519391.279943956,528104.786913134,453221.841654224,411556.27973065205,400360.6262169,400411.936649028,1519594.02260826,1517138.10961818,1500260.46222389,1570038.4315816,1551188.98609736,1652286.47618543,1609774.23815355,1603295.30690469,1631765.29725658,1647460.36379346,1416581.86698463,1375065.22203154,1371344.429701,1365191.61774318,1403208.03007218,1294819.48322795,1313212.88913955,1309473.29491405,1324679.24697003
7,68773.8958257027,60771.8648899189,49921.6878338874,38423.4900052316,38385.7342056467,17455.6967693419,0.0,22859.903092930497,24983.241497314302,52021.642466107696,89690.6092423603,165646.85095951302,101950.844889649,113066.21776305401,136554.151189067,95044.5406854917,76624.7228759684,102089.055565922,89136.82989923311,64370.7977629314,111033.28528324599,1223791.90436405,989030.19584531,1037972.25098703,1013286.14947621,1016719.04606544,994045.0739295841,961901.6706084041,957886.028337097,966629.6774981859,952673.24974135,950887.202924008,951312.537759173,911089.978896584,914130.6034000979,857655.7409477241,853104.452354388,862111.717829084,861559.1060318759,860105.042242312,826842.5131302959,834807.506185393,850930.5398543109,886354.9285677391,861374.1710760171,412796.599129945,596098.942470332,636278.4842175221,934954.477705422,796545.906750277,705849.786426894,724100.036347422,741830.3949188001,757289.931297205,657152.545825882,498304.216944449,496561.418485438,488381.104085975,484008.18214135204,478840.046631867,471947.22950270295,442271.96280780795,498297.783048305,508245.50302676705,575963.378995675,1020425.69423152,1023877.60525007,1018238.4133734001,1168814.87198834,1198487.33701073,1202499.18344715,1292126.28517883,1290069.41608315,1290184.52601288,864505.615228835,888615.3019814041,957593.088670758,676100.4098760879,838263.211760387,1292537.92497626,1220805.26062044,1201122.13548469,1192627.62267111,1175468.26352178,1161343.78277493,1177077.67406786,999697.571714699,936363.192064333,1120043.43422849,1143337.70486788,871451.422059074,886814.728441294,902710.4145339209,905492.526204365,909623.0568828641,792448.54259384,915050.234056225,745399.7947950009,733892.428651827,760916.8506064321,391237.548807981,540743.777714922,618592.37949297,626283.983244325,624017.920671403,645310.812205027,666757.046470094,678384.147768789,509372.380731587,511323.07329251396,536577.101032137,545305.658600462,470345.46262819396,428485.260641727,417370.14334559,417527.94246973103,1533452.37401508,1531101.67304643,1513884.19933875,1583423.26500143,1565099.71250631,1666553.6133307,1624008.92588018,1617562.73023537,1646284.67115354,1662007.6313828002,1431482.98468513,1389887.14658356,1386221.05904827,1379843.49393214,1417907.86694419,1310222.34308506,1328308.5099505,1324585.26383754,1339728.98633545
8,78023.5869410213,68880.3849077267,55230.687680507996,45388.819456559104,46231.543129976795,26109.1280565092,22859.903092930497,0.0,2276.1019205909197,48875.5597447321,92652.24450067789,178774.389193468,98670.6449891941,106556.610820418,114270.83928685599,72755.4323839655,57016.8850303062,82592.7469285011,73123.0937665726,46368.843630158095,88537.67639866911,1228769.56409478,993057.580625567,1043447.88538425,1018205.58594139,1021636.68406253,996830.313582763,964570.5953732791,960744.838043188,968428.5767605341,954504.9321012179,953219.3264020729,952809.885223742,912118.543200619,915245.120905458,858813.968144058,853812.8156478001,863698.52198423,863189.4688407991,861844.748503023,828374.7215455971,834752.070577619,851438.6121795609,888084.37733892,863703.088706983,411798.841965605,594964.986738535,635169.8308740021,935471.252258072,794898.4810574041,704725.0730551841,723054.5834646659,740741.5469790391,756143.804043894,656150.883274776,496662.64170114795,494955.634839665,486903.71089231205,482574.35364552296,477423.899977417,470339.29016648396,441096.85270047706,495356.38924897206,507721.89031835203,575097.7577623479,1020792.92586725,1025606.46168135,1020364.63133845,1173240.50466671,1207097.12128617,1211033.36985582,1302138.20969244,1299938.78792539,1299963.4507443998,868845.0804145171,893181.090000865,963079.1914251121,677519.194276061,842021.655964848,1301703.58135734,1229776.49199806,1206567.44304165,1197902.07254737,1181099.34028048,1168507.32611058,1185000.22041418,1005463.26605461,941310.988000448,1126987.39176023,1151313.0471387,874485.003006814,889984.3615860791,905957.5936209509,908071.6586661241,912060.927532668,794647.698967373,918828.311659026,746239.206585481,734020.671891542,761097.977588252,394372.60519832704,542333.580424027,620360.392267944,626641.725281002,624441.6170674771,645567.4097812771,667190.395935328,678525.590622964,510004.947681628,511753.452919022,536828.600992067,545438.141812987,471088.82393384,430410.84297740296,418870.002693607,418380.791355365,1543870.759848,1541318.19279918,1524740.95776168,1594706.10562764,1575416.6850126002,1676159.87136551,1633683.1864645001,1627170.43608726,1655362.56434803,1671024.69140164,1439718.87247904,1398308.38806247,1394516.74318686,1388647.12513008,1426602.80232831,1317228.29483578,1336089.10065229,1332326.31721849,1347619.66588152
9,78439.0200494357,69228.7072865509,55405.416426139105,45842.8460848108,48140.9352368503,28271.1494736123,24983.241497314302,2276.1019205909197,0.0,49963.310457740095,94028.4202341367,180753.449634443,99486.6803598936,107029.15425510901,112017.32345645301,70498.9993987567,54814.1595735098,81392.9504877672,72518.4387580875,45571.8291574053,86650.996391987,1230083.18803121,994295.970621844,1044805.87655072,1019518.19995384,1022949.07379096,997962.080179001,965693.072762153,961883.914168946,969474.547176246,955554.185995476,954312.692401787,953829.4948981991,913097.398693125,916231.59998575,859806.209928327,854764.739716775,864728.8443465659,864223.677915873,862888.70169312,829401.4428257709,835635.1350659941,852372.4786151029,889126.555194431,864798.877387431,412627.384762269,595760.995506257,635965.367038181,936403.1610187291,795634.896973765,705514.95932636,723850.9167644109,741532.9429159791,756929.106106759,656955.064932744,497419.90305978706,495716.45404946397,487677.498601079,483352.723174375,478204.52479435,471102.734728509,441904.61410231,495989.71050364,508582.20303263795,575920.314779405,1021708.89802244,1026644.76416157,1021438.18550411,1174508.87255472,1208700.27322886,1212630.72115788,1303844.7364448,1301634.91223727,1301652.93662841,870113.14128621,894467.38374513,964439.812089554,678542.645582519,843241.499620436,1303347.55476389,1231406.68922559,1207920.06289078,1199240.75107641,1182467.59799291,1169998.98586535,1186550.9620889,1006845.76590839,942627.774707245,1128462.32808647,1152868.35226844,875641.7043861209,891152.3082939191,907131.732657766,909187.9054037321,913164.724886624,795734.6176039941,920047.472050757,747207.318610818,734924.861300659,762005.7270744409,395571.496934837,543381.490073215,621418.2158965571,627572.895971001,625378.9174406889,646488.171010382,668125.910084625,679433.897304846,510970.404601949,512700.48572326,537757.055221109,546355.00717222,472068.403610226,431500.25984068797,419923.624311089,419377.01819567103,1545604.78119486,1543037.61324769,1526506.52021916,1596501.30671324,1577143.15887019,1677833.60821283,1635362.23007159,1628844.5965767999,1656996.96977549,1672654.40991709,1441290.89734186,1399895.02824074,1396093.79648223,1390262.96425685,1428210.04208317,1318705.50177423,1337626.95246671,1333861.13340718,1349165.9443265
10,120669.972314729,112391.107416289,100428.14049403,89272.7396953108,23854.0595067269,34976.3079327844,52021.642466107696,48875.5597447321,49963.310457740095,0.0,45104.5844784559,140235.146397804,50509.5499941643,61077.8617866554,138397.808898493,100549.74318390401,96674.1457759383,71814.98629130049,50633.886064025,39716.1125171427,96387.0305369167,1180367.48772542,944420.6745044709,995230.9340657891,969802.7334216321,973232.934841064,947999.008287075,915729.833916172,911921.8049457441,919553.0729308521,905629.3728343521,904356.3575489679,903939.735525326,863273.672027022,866393.982700775,809958.751241115,804996.0372726009,814825.217077409,814315.332933886,812969.3641465891,779502.393145674,786045.559617385,802645.34630274,839209.12450468,814841.4888865041,363245.674198249,546487.776020515,586691.078805852,886679.9734958659,746605.7100115991,656259.174735675,674568.15963083,692269.091068575,707689.258934617,607644.9924729139,448323.958381319,446604.662053465,438509.31538393104,434165.23930509604,429008.045670999,421982.95776330796,392600.264000748,447540.46441346203,459076.838567976,526544.88507305,972024.930852565,976731.597370593,971492.940691652,1124686.33163521,1160537.26276192,1164419.19256177,1256678.22275393,1254354.35018651,1254301.11761783,820293.311061964,844687.267179861,914876.243035835,628648.112386983,793340.272434015,1255540.31487531,1183477.78042058,1158323.40354895,1149598.89493146,1132926.16770794,1121044.22630082,1137981.98740194,957362.5224898179,892925.367292145,1079412.97077688,1104334.44009332,825685.019067922,841201.27157239,857184.5327339009,859225.185334295,863204.606856264,745781.21693013,870144.772097435,697405.384170822,685276.299155458,712346.8628712691,345651.241042718,493458.06866160897,571485.21853022,577855.5712909211,575646.64191995,596796.909997958,618397.192360715,629775.164709258,461176.79741909297,462947.615019938,488048.751123334,496676.70884803706,422247.01349879603,381545.08609294,369994.467722601,369525.90041734703,1498735.4513713,1495997.87289643,1480030.58593902,1550418.71029298,1530182.6728488002,1630294.15496965,1587878.93723347,1581311.88036567,1609081.83835411,1624696.43197015,1392866.28163891,1351585.8877097,1347709.74554303,1342196.51087413,1380068.10345279,1269661.67114167,1288959.93157692,1285173.55163929,1300556.97848663
