Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47
1993-01-01,0.0,-2.59,9.34,0.17,0.0,0.0168522205431244,0.0,0.783587367111722,0.0,1.49141316788487e-26,7.35724648261449e-08,0.0,0.0,0.0,0.0,1.49141316788487e-26,3.09320420218634e-05,0.0411084313484108,4.61471067658108e-16,7.1744201999018e-06,0.0,0.0006694914939469,0.0,0.0,0.878611395885629,1.1642052644700999e-17,0.0,1.06564836494252,-0.0,0.299350189953761,0.596931772306905,0.245000002765962,0.543424111351489,1.8372037787974102e-09,1.78782022382668e-09,1.7583046077371e-09,0.245,0.0412225749591829,1.93136661824167e-09,0.0005572642692746,1.86234431468415e-21,0.0,0.28723345534646,0.0,0.0,0.0,6.90840309704715e-06,1.00000000000296,0.0,0.0984970561906675,235.295427087411
1993-01-02,4.24,-1.4,11.64,0.21,0.0,0.411145335329403,0.0,2.01704221065083,0.0,5.96565267153949e-27,3.67861026903121e-06,0.0,0.0,0.0,0.0,5.96565267153949e-27,0.0010789363719766,0.354135201248468,9.287084961360061e-15,0.0003476428525379,0.0,0.116795264445859,0.0,0.0,0.659927605159018,1.41353360470702,0.0,1.15976874143711,-0.0,0.2252058269133,0.584468111872229,2.24500000285671,0.936260333751121,1.2587003436323e-09,1.22460626923691e-09,1.2043977590137801e-09,2.245,0.0286359852786659,1.3240114088274402e-09,0.0843146422613482,6.82859582050856e-21,0.0,0.162454064827855,4.95965199161049e-10,0.0,0.787909703500898,6.84361676623059e-06,1.00000000000197,0.0,0.252748037460445,117.83202987925
1993-01-03,5.44,-12.64,1.32,0.21,0.0,0.161255910592328,0.0,1.61311474458065,0.0,2.3862610686158e-27,1.67049761268866e-05,0.0,0.0,0.0,0.0,2.3862610686158e-27,0.0004353568056368,0.0661195461829692,5.570682792507511e-15,0.0012315350233477,0.0,0.018989370049925,0.0,0.0,0.640044382064745,0.0142062172277011,0.0,1.25183908739302,-0.0,0.221085421892554,0.576409398891516,0.405000002850329,0.845124076183975,8.62030954265291e-10,8.38506521251433e-10,8.24675327642988e-10,0.405,0.0216783800084457,9.07300958619147e-10,0.043800993553793,1.38641187870931e-20,0.0,0.108034918570701,2.02915913417772e-08,0.0,0.345485786790636,6.77967828234211e-06,1.00000000000131,0.0,0.202248691640097,59.4862889946217
1993-01-04,0.17,-12.93,2.61,0.14,0.0,0.161117400749488,0.0,2.06731742690329,0.0,9.54504427446318e-28,3.79219867179424e-05,0.0,0.0,0.0,0.0,9.54504427446318e-28,0.0003016275322915,0.235842880383456,4.850175811957831e-15,0.0028574240864219,0.0,0.150447770834136,0.0,0.0,0.768015259500853,1.28483808192837,0.0,1.38328828712056,-0.0,0.288530325383553,0.573669941820863,1.49000000293686,1.02020924441036,5.9015421962483e-10,5.739346131393991e-10,5.64471450453071e-10,1.49,0.0190354847928474,6.21510147910347e-10,0.121453922699821,2.2279156060851202e-20,0.0,0.0853199670575959,1.58636107540761e-07,0.0,0.861503936704808,6.71657293858491e-06,1.00000000000088,0.0,0.258999127760228,29.6675764052857
1993-01-05,0.15,-15.43,1.17,0.16,0.0,0.0641394420438239,0.0,2.01025902844706,0.0,3.8180177097852697e-28,7.11705112992307e-05,0.0,0.0,0.0,0.0,3.8180177097852697e-28,0.0001283579998019,0.151323369794729,2.0253354530743703e-15,0.0055876626447672,0.0,0.114383891129651,0.0,0.0,0.797736327369783,0.762659950780082,0.0,1.51128499328054,-0.0,0.332933690443473,0.575951932200467,0.950000002981458,1.04289624756169,4.0388231012039005e-10,3.92707325577642e-10,3.86234876924165e-10,0.95,0.0198248229582562,4.2558536101811e-10,0.123264660187813,3.16138695393915e-20,0.0,0.0752322474116784,6.42306785270015e-07,0.0,0.787647532157482,6.65428650379093e-06,1.00000000000058,0.0,0.25183275184016,15.8247006826249
1993-01-06,0.0,-13.09,3.31,0.16,0.0,0.0256557768177222,0.0,1.38897876088045,0.0,1.5272070839141099e-28,0.0001155350517587,0.0,0.0,0.0,0.0,1.5272070839141099e-28,6.09961854388858e-05,0.0144607225642194,8.10134181229756e-16,0.009283663976686,0.0,0.0337891051506038,0.0,0.0,0.936403086174745,4.59451910668597e-10,0.0,1.55442200004212,-0.0,0.455985874148567,0.580257165481488,0.0750000029913172,0.872245883804068,2.76307781469086e-10,2.68612755260602e-10,2.6418731116894e-10,0.075,0.0234517619631262,2.91320438487356e-10,0.0628528901076693,4.1561700487786703e-20,0.0,0.0691939588871032,1.86119749249434e-06,0.0,0.18633998855825,6.59280515286426e-06,1.00000000000039,0.0,0.174138501226495,7.22104209390886
1993-01-07,0.11,-14.02,2.28,0.15,0.0,0.0102623107270954,0.0,0.9981818153152,0.0,6.10882833565644e-29,0.0001682575534154,0.0,0.0,0.0,0.0,6.10882833565644e-29,3.59970597598434e-05,0.0199258047520557,3.24053672491906e-16,0.0136228823885444,0.0,0.0225260701010838,0.0,0.0,1.0121121921431,2.04279577963847e-17,0.0,1.51157222055582,-0.0,0.507492254554518,0.582049524781823,0.110000003020332,0.744349846784573,1.88965357159533e-10,1.83668619379018e-10,1.80643792250335e-10,0.11,0.029513369085171,1.99344883886965e-10,0.0314721709360317,5.1918276416085203e-20,0.0,0.0656556829147124,4.38630367981727e-06,0.0,0.0,6.53211541830531e-06,1.00000000000026,0.0,0.12525900081797,2.80311367973806
1993-01-08,7.85,-11.82,1.34,0.17,0.0,0.0041049242908421,0.0,1.45718577356345,0.0,2.44353133426258e-29,0.0002294141759478,0.0,0.0,0.0,0.0,2.44353133426258e-29,2.7943009554426e-05,0.18871610827538,1.29621468996764e-16,0.0183915086860572,0.0,0.0153994982186991,0.0,0.0,1.09315992695594,0.299199791711816,0.0,1.48628919528141,-0.0,0.529233911509428,0.582666564991136,1.19000000310054,0.875038090590422,1.29189197566065e-10,1.25544703811403e-10,1.23477877808815e-10,1.19,0.0377344604650892,1.36361882685044e-10,0.0160143869686727,6.25473489976525e-20,0.0,0.0637674700578669,8.94133273015502e-06,0.0,0.23015039418212,6.47220415584604e-06,1.00000000000017,0.0,0.18267266721198,1.22307360740319
1993-01-09,3.47,-16.65,1.47,0.18,0.0,0.0477295267160356,0.0,1.87899692651769,0.0,9.774125337050299e-30,0.0003020553171589,0.0,0.0,0.0,0.0,9.774125337050299e-30,4.17256869413823e-05,0.216012972369157,1.28774885861144e-15,0.0236787977811419,0.0,0.0923683032202321,0.0,0.0,1.23695731277743,0.857877775031504,0.0,1.51842029154059,-0.0,0.569372016065149,0.583725890439429,1.36500000317744,1.01289829948277,8.82932119498389e-11,8.57862359596657e-11,8.437445452829119e-11,1.365,0.0430047891980541,9.32477538133503e-11,0.067501566788258,7.33580860147323e-20,0.0,0.0659168704922943,1.63536953687636e-05,0.0,0.450249749341544,6.41305851954807e-06,1.00000000000012,0.0,0.23553177814132,0.798339976111034
1993-01-10,0.06,-11.3,3.84,0.18,0.0,0.0190480339266001,0.0,1.45441343265123,0.0,3.90965013482012e-30,0.000386797924136,0.0,0.0,0.0,0.0,3.90965013482012e-30,3.41768100041011e-05,0.0503652469667926,5.25313595271135e-16,0.0295431123466317,0.0,0.0199201606106705,0.0,0.0,1.36305200604376,2.95245509946727e-06,0.0,1.52540431111198,-0.0,0.597046130986807,0.584025779905659,0.305000003186982,0.889354712728385,6.0324081933551e-11,5.860023677174009e-11,5.763619080252609e-11,0.305,0.0463107218957478,6.374481482796539e-11,0.0348685661570301,8.42899326554872e-20,0.0,0.0680998180213629,2.75263457584586e-05,0.0,0.171438054426898,6.35466594326296e-06,1.00000000000008,0.0,0.182437852094213,0.901672044141968
1993-01-11,0.75,-11.88,1.88,0.19,0.0,0.353295131746952,0.0,2.36797586830475,0.0,1.56386005392805e-30,0.0004850790025229,0.0,0.0,0.0,0.0,1.56386005392805e-30,0.0009399550791561,0.330698160822392,9.26954531904983e-15,0.0363384483403538,0.0,0.209428617743619,0.0,0.0,1.45555377870953,1.92012962743935,0.0,1.62203496760979,-0.0,0.679024897488703,0.58700451202307,2.1000000033871,1.19570819196911,4.12024108044268e-11,4.00177412307862e-11,3.93596237776917e-11,2.1,0.0483097247849091,4.3562812033698896e-11,0.158944363397925,9.53025190453587e-20,0.0,0.0776648830288107,4.34245504802276e-05,0.0,1.14997483943007,6.29701412638622e-06,1.00000000000005,0.0,0.296625234729229,1.19590385317372
1993-01-12,1.46,-19.33,0.97,0.18,0.0,0.13896018722,0.0,2.07948977153886,0.0,6.2554402157121995e-31,0.0006026595902112,0.0,0.0,0.0,0.0,6.2554402157121995e-31,0.0004006126800808,0.12060068199016,5.2932166067847405e-15,0.0443663271797459,0.0,0.0637908026411088,0.0,0.0,1.47175531885324,0.265407987811637,0.0,1.71551922535917,-0.0,0.708727997728093,0.592478097455393,0.75500000341774,1.13936438877864,2.8133428038005297e-11,2.73195287263949e-11,2.6870390109184796e-11,0.755,0.0494373927504089,2.9761501722955096e-11,0.0993501510255963,1.06368931934641e-19,0.0,0.0864435358251405,6.50609269727661e-05,0.0,0.533516444261615,6.24009102252419e-06,1.00000000000003,0.0,0.260666823152924,2.02519274826477
1993-01-13,0.01,-17.92,1.84,0.19,0.0,0.0555840748887232,0.0,1.63452943054094,0.0,2.50217608628488e-31,0.0007352687214847,0.0,0.0,0.0,0.0,2.50217608628488e-31,0.0001883453453544,0.0612477950844118,2.11728664271392e-15,0.0532807845934824,0.0,0.0306422468038637,0.0,0.0,1.55654562650417,7.20093496063403e-05,0.0,1.74783653844329,-0.0,0.774806556916134,0.598415898093839,0.375000003475163,1.01673475398228,1.9204132254628697e-11,1.8645148255943898e-11,1.8338716961062897e-11,0.375,0.0499831992977107,2.03266066092644e-11,0.0500938334616677,1.17471229156865e-19,0.0,0.0935086045391066,9.35157102507917e-05,0.0,0.222208332316343,6.18388483015198e-06,1.00000000000002,0.0,0.205027882101982,0.559728502181005
1993-01-14,0.0,-11.71,2.27,0.18,0.0,0.0222336299560231,0.0,1.55898509431631,0.0,1.0008704345139502e-31,0.0008814906924464,0.0,0.0,0.0,0.0,1.0008704345139502e-31,0.0001068931039486,0.112733794476102,8.46914657085578e-16,0.0628931032798992,0.0,0.0583248327980901,0.0,0.0,1.51105116116932,0.472220058511534,0.0,1.74120980407275,-0.0,0.710446887146748,0.604253786245966,0.705000003575669,0.993355923327795,1.3105276217362299e-11,1.2721613136388098e-11,1.2512600277023e-11,0.705,0.0501420218216075,1.3878710783092099e-11,0.0524786153936015,1.28597449267715e-19,0.0,0.10087048046479,0.000129931975706,0.0,0.539494632932976,6.12838398464613e-06,1.00000000000002,0.0,0.19543525473477,0.291151494905462
1993-01-15,0.0,-3.95,5.26,0.2,0.0,0.0088934519823537,0.0,1.474634077517,0.0,4.00348173805581e-32,0.0010422972890324,0.0,0.0,0.0,0.0,4.00348173805581e-32,7.77668998712665e-05,0.104902346795165,3.38765862834235e-16,0.0731508189721316,0.0,0.0454081809233268,0.0,0.0,1.49570027133303,0.284454072924136,0.0,1.70847026638426,-0.0,0.678727892921158,0.609360932080973,0.655000003653888,0.95961886229308,8.940807263320979e-12,8.67757792960066e-12,8.53505120109052e-12,0.655,0.0500464774979771,9.473502153225699e-12,0.0453414383116218,1.3973961797098402e-19,0.0,0.10788804671769,0.0001754663536308,0.0,0.273780621724397,6.07357715128006e-06,1.00000000000001,0.0,0.184873503156514,0.543599822426397
1993-01-16,0.0,-6.58,4.39,0.19,0.0,0.0035573807929461,0.0,1.53491924921296,0.0,1.60139269522232e-32,0.0012171256561717,0.0,0.0,0.0,0.0,1.60139269522232e-32,6.95711107251586e-05,0.13217406633349,1.35506345133696e-16,0.0840333693949645,0.0,0.0599034389465067,0.0,0.0,1.50423273932145,0.442177096458865,0.0,1.67444911741466,-0.0,0.69553802599909,0.613611115987979,0.830000003757062,0.969383136294495,6.09801869787938e-12,5.91748000067728e-12,5.82031611477149e-12,0.83,0.0497847590913244,6.46475485025882e-12,0.0538763617297061,1.50892419069198e-19,0.0,0.115434166419294,0.0002312434142527,0.0,0.315490629117737,6.01945321890586e-06,1.00000000000001,0.0,0.192415668771,0.559743812883026
1993-01-17,0.01,-8.57,2.23,0.19,0.0,0.0014229523171776,0.0,1.18075394881418,0.0,6.40557078088929e-33,0.0013922996760584,0.0,0.0,0.0,0.0,6.40557078088929e-33,6.97474875515769e-05,0.0401231013743728,5.4202538053478903e-17,0.0954536292021359,0.0,0.0183532369827056,0.0,0.0,1.48297499220487,1.74894687170204e-16,0.0,1.60398000779411,-0.0,0.688447607562188,0.606285491529624,0.240000003784747,0.842470548388029,4.15793215821176e-12,4.03408264065911e-12,3.9678630437995795e-12,0.24,0.0494170432579369,4.41038409861436e-12,0.0275164428823437,1.6205230843070901e-19,0.0,0.121278037897944,0.0002983167239002,0.0,0.0,5.96600129413723e-06,1.0,0.0,0.148277112514003,0.483546060265981
1993-01-18,0.0,-5.4,4.89,0.18,0.0,0.0005691809268709,0.0,0.828837501722284,0.0,2.56222831235572e-33,0.0015014056833559,0.0,0.0,0.0,0.0,2.56222831235572e-33,7.32727307670058e-05,0.0128239932387258,2.1681015221391802e-17,0.107231615289207,0.0,0.0122354913243883,0.0,0.0,1.46732882242592,5.1838164198188605e-17,0.0,1.48617111925315,-0.0,0.690391369943097,0.564308935654072,0.065000003821791,0.701267514536309,2.8343043571021e-12,2.74933402079697e-12,2.70421640514907e-12,0.065,0.0489807506196932,3.00805866450606e-12,0.0137798629742161,1.73216923301085e-19,0.0,0.125899765393293,0.0003776329460167,0.0,0.0,5.91321069590855e-06,1.0,0.0,0.104268075009335,0.100850673691972
1993-01-19,0.23,-1.4,8.22,0.18,0.0,0.0002276723707483,0.0,0.711889492772271,0.0,1.02489132494229e-33,0.0015993305812362,0.0,0.0,0.0,0.0,1.02489132494229e-33,7.81375205380389e-05,0.0400982147589705,8.672406088556809e-18,0.119247709007467,0.0,0.0081569942162619,0.0,0.0,1.33945301418792,5.57477845031144e-17,0.0,1.3477120723196,-0.0,0.610859703451093,0.543289854056366,0.240000003868829,0.624353847516484,1.9315485855863098e-12,1.87327475736482e-12,1.8425421122882898e-12,0.24,0.0484969904158289,2.05108811612151e-12,0.0068907406708925,1.84384688510704e-19,0.0,0.129665961999074,0.000469991908835,0.0,0.0,5.86107095032546e-06,1.0,0.0,0.0895120500062328,0.0433584482688769
1993-01-20,0.3,-2.83,6.59,0.18,0.0,0.187471303274633,0.0,1.61611718188646,0.0,4.09956529976915e-34,0.0016525365611695,0.0,0.0,0.0,0.0,4.09956529976915e-34,0.0003003189852301,0.269964938807008,5.083405433910351e-15,0.131531874642004,0.0,0.042509418305923,0.0,0.0,1.26447034181427,0.723031697290723,0.0,1.31585644109867,-0.0,0.560254239740988,0.532366614978066,1.7150000040478,0.890916325875077,1.31600078063278e-12,1.27604746348747e-12,1.25511848784932e-12,1.715,0.0479838971184942,1.39821181989846e-12,0.0302784922892961,1.9555455394648502e-19,0.0,0.134760067482035,0.0005760063217541,0.0,0.424496394436994,5.80957178574955e-06,1.0,0.0,0.202591366670812,0.0411323261515049
1993-01-21,2.44,-2.12,9.16,0.18,0.0,0.502547587981782,0.0,2.6031992826451,0.0,1.63982611990766e-34,0.001686518211306,0.0,0.0,0.0,0.0,1.63982611990766e-34,0.001516111565144,0.361049455268393,1.4849776769837102e-14,0.144501763406144,0.0,0.146035351784187,0.0,0.0,1.33016417656076,1.55431361566242,0.0,1.44403353841917,-0.0,0.563717960835758,0.525435083260754,2.30000000427446,1.23577866988354,8.963742141806429e-13,8.68968786289833e-13,8.54720224440849e-13,2.3,0.0474519655929582,9.5291612630336e-13,0.114208833667951,2.0672581953304e-19,0.0,0.145900966609183,0.0006960839265842,0.0,0.293724075331246,5.75870312807761e-06,1.0,0.0,0.326727577780542,0.503638962275669
1993-01-22,1.62,-2.87,7.86,0.18,0.0,2.85144366879165,0.0,5.72162677167123,0.0,6.55930447963063e-35,0.0017480183571245,0.0,0.0,0.0,0.0,6.55930447963063e-35,0.0383672837631592,0.937336665468464,7.44140259747171e-14,0.1600615882136,0.0,0.670421849633391,0.0,0.0,1.61587967067427,6.15380087472166,0.0,1.9754290747783,-0.0,0.708408443473705,0.532923982177903,6.00000000595838,2.37807688241908,6.10395056746094e-13,5.91592572342837e-13,5.81894663135551e-13,6.0,0.0469013791562772,6.49279638259596e-13,0.513369002953998,2.17898018553446e-19,0.0,0.187154732762384,0.0008304668631831,0.0,3.08925818472471,5.70845509618776e-06,1.0,0.0,0.801151718520361,3.94060247868826
1993-01-23,3.71,-9.39,2.93,0.18,0.0,1.04260570952754,0.0,3.99087298515996,0.0,2.6237217918522504e-35,0.001855299391894,0.0,0.0,0.0,0.0,2.6237217918522504e-35,0.0155516547956726,0.0462783409772032,1.28908526488919e-13,0.179079704647232,0.0,0.121744028919056,0.0,0.0,1.98384374994505,2.29792041422767e-15,0.0,2.43452863549501,-0.0,1.00875343533931,0.550726238185211,0.2800000054836,1.98933648977925,4.15549563718571e-13,4.02646327701662e-13,3.96047444578252e-13,0.28,0.0463344146423679,4.42289425121663e-13,0.272778270724024,2.2907083986308403e-19,0.0,0.214040525381069,0.0009793532599,0.0,0.983102789499174,5.65881799753335e-06,1.0,0.0,0.557434479016038,5.85708827326468
