Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47
1993-01-01,0.03,18.59,10.97,0.16,0.0,0.46940305052482,0.0,1.80763027209962,0.0,0.827084486595092,0.0172442536031528,0.0,0.0,0.0,0.0,0.827084486595092,0.0036940892936651,0.0043173800330746,9.79515448097249e-10,0.0004732513639065,0.0,0.0878309415616502,0.0,0.0,0.650069786879898,8.56251445581019e-18,0.615440405048502,1.13050059435066,-0.0,0.406950960609421,0.0065527060864104,0.010002844318568,0.803435836304602,1.1305005943706,1.10685631658369,1.10201209422769,0.01,0.406954110111155,1.10956133247879,0.208494946577668,3.59721214900941e-08,0.0,-0.326061591171361,0.0,0.0,0.0,58.5019189861148,0.816260199392871,0.0013670125614787,0.231000078381499,229.067782932409
1993-01-02,0.33,17.61,11.19,0.16,0.0,0.187761220195847,0.0,1.18530219378965,0.0,0.330833796513531,0.017198519944604,0.0,0.0,0.0,0.0,0.330833796513531,0.0014776357174649,0.0027480249657656,3.91806179811828e-10,0.0017300752486106,0.0,0.0585539648580378,0.0,0.0,0.444187691193354,7.987970324303601e-18,0.578715635359565,1.19920517788444,-0.0,0.278811684372544,0.0051010820358573,2.84336041197815e-06,0.658423946130507,1.19920517789337,1.17326441525538,1.16955471401372,2.4703091597636297e-36,0.278813800970093,1.1770440358755,0.104669087680322,1.37220095221255e-07,0.0,-0.196386560257111,0.0,0.0,0.0,52.8346231778746,0.664886005825021,1.3003002239491601e-09,0.154000052254333,107.309342088566
1993-01-03,0.0,18.73,19.34,0.16,0.0,0.0751044880751847,0.0,0.880933603951573,0.0,0.190333519562174,0.0171530846637596,0.0,0.0,0.0,0.0,0.190333519562174,0.0005910542869861,0.0254341752877272,1.56722472097593e-10,0.0035027167077912,0.0,0.039035976572019,0.0,0.0,0.322752423956093,7.840707039620029e-18,0.557148536511083,1.19394100068515,-0.0,0.202594548682012,0.0036781718096677,0.145002842402563,0.57221759186131,1.19394100068709,1.16816645686836,1.16534049124524,0.145,0.202595997433731,1.17254026312444,0.0523503050524802,2.905193562501e-07,0.0,-0.149682751869308,0.0,0.0,0.0,50.0530924711698,0.507950669432785,0.0197522955391962,0.114750034836222,50.8258684988397
1993-01-04,1.8,20.02,7.4,0.16,0.0,6.0288979563263,0.0,6.95478659562742,0.0,6.37688901489998,0.0171292993339211,0.0,0.0,0.0,0.0,6.37688901489998,0.126579481266696,1.49756818526889,6.849226750996261e-09,0.0086711495466024,0.0,2.51564315958987,0.0,0.0,0.455242280380496,8.05459535270204,0.561447637872594,1.83242951791465,-0.0,0.332497684963417,0.0274821960197187,9.55500284152084,2.36484548267304,1.8324295173842,1.80934688897808,1.80651656638267,9.555,0.33249871596694,1.81294067696163,1.42119447024286,5.97849471489375e-07,0.0,-0.065844866904295,1.09097598350384e-09,0.0,6.32918831204942,68.0053928698879,3.24778629861895,1.97424964686574,1.10420835655748,30.348046832134
1993-01-05,3.08,20.87,4.64,0.16,0.0,3.12055518247526,0.0,6.96980801194231,0.0,3.9867556055633,0.0171670068513666,0.0,0.0,0.0,0.0,3.9867556055633,0.0776967696092072,0.564237761075406,1.54119070303878e-08,0.0200087164950405,0.0,1.11533869721154,0.0,0.0,1.02605798948615,2.38966153160361,0.557708720506113,2.68149961042058,-0.0,0.81995205980443,0.0687619014945466,3.59000284056997,2.61967426898419,2.68149960992818,2.65393277474276,2.65054238833524,3.59,0.819952846009476,2.65599645004219,1.3401647240634,1.2124199536402e-06,0.0,-0.0082831941387701,4.46354680901007e-08,0.0,1.28834651516329,85.3969340751776,4.42286286390559,0.494674308051501,1.03530557103832,20.8528573676295
1993-01-06,1.88,20.24,4.76,0.19,0.0,1.19307558487985,0.0,4.64840617866402,0.0,1.61670224239097,0.017256016316827,0.0,0.0,0.0,0.0,1.61670224239097,0.0318280739984337,0.0113333337347568,6.28018732805589e-09,0.0362962587876115,0.0,0.372983105593447,0.0,0.0,1.95001195477899,8.14890493804799e-18,0.560618603604806,3.27317686514385,-0.0,1.59841081076755,0.0929581001112499,0.0550028396362502,2.16157944647129,3.27317686482463,3.23941960059718,3.23557305174036,0.055,1.5984114747435,3.24004920739824,0.852443787117674,2.15060707979963e-06,0.0,2.47378294500137e-05,3.48205126253778e-07,0.0,0.0,87.9012994705465,4.07741107614267,0.0075750175000339,0.694787047358881,8.69999681963157
1993-01-07,0.64,20.1,5.26,0.21,0.0,2.26350588298832,0.0,6.08778908840467,0.0,3.28780149490425,0.0174028952428808,0.0,0.0,0.0,0.0,3.28780149490425,0.04489025757555,0.707004838270965,1.20994603285572e-08,0.0568644208538739,0.0,1.06852100861805,0.0,0.0,2.04931625440013,2.83773768729843,0.575469306431221,3.84888911285925,-0.0,1.60228257229041,0.127886890062789,4.50500283873319,2.71915225910513,3.84888911271823,3.81352883933894,3.80843507089359,4.505,1.60228321046651,3.81202234609362,1.0011392571793,3.41927681437749e-06,0.0,0.0009600047129271,1.38223530027167e-06,0.0,2.78767542658114,87.2375386852316,4.19856580974455,0.62231993470024,0.859649698238332,4.47525876680765
1993-01-08,63.85,19.69,0.82,0.23,0.0,9.47595669577001,0.0,12.0226379120827,0.0,9.99853432855475,0.0176630901447101,0.0,0.0,0.0,0.0,9.99853432855475,0.30690550900638,1.87122714924959,1.14562684407644e-07,0.0855296785946504,0.0,4.02699005831038,0.0,0.0,2.32986322950443,13.0251323806207,0.615843266661215,5.01414239817778,-0.0,1.8216814806309,0.196324279006032,11.9550028439243,4.78112301135858,5.01414239766218,4.98120535856768,4.97133885971295,11.955,1.82168215931908,4.97416220422125,2.51209588469041,5.40109878491865e-06,0.0,0.0271355755377707,3.85514813310095e-06,0.0,9.94009595538039,91.8616418246319,7.42892905004148,3.1953549136916,1.90080813216074,11.6596859933737
1993-01-09,1.79,18.3,6.3,0.76,0.0,4.6688961966551,0.0,8.53733771632909,0.0,6.63902288727758,0.0181082232977928,0.0,0.0,0.0,0.0,6.63902288727758,0.12544428308187,0.12850892778246,2.31781350538878e-07,0.12384989367522,0.0,0.770072497440043,0.0,0.0,3.25577622506106,0.108845794241474,0.654020142521385,5.92245005738365,-0.0,2.60296388228788,0.292369802254975,0.805002841349786,4.06495119458503,5.9224500568854,5.89136524067125,5.8769753841661,0.805,2.60296457696179,5.8798666829103,1.61399975244733,8.42726565207744e-06,0.0,0.0921418537249273,8.79199296162425e-06,0.0,5.8310831533165,76.5111035266918,7.28171774777259,0.112907934057161,1.33428875476786,14.8753448942287
1993-01-10,0.29,17.37,8.89,1.07,0.0,2.56926413107797,0.0,6.15819230704439,0.0,4.35934859150537,0.0187234735155096,0.0,0.0,0.0,0.0,4.35934859150537,0.0536319780593023,0.114415420030269,9.27125428294918e-08,0.168611495394505,0.0,0.50641495001563,0.0,0.0,4.10030890022119,0.0119561987169008,0.697823102236783,6.35133322361479,-0.0,3.42624243156296,0.402042044759864,0.715002841714546,3.52392940993181,6.35133322333937,6.32193434043112,6.30444688864775,0.715,3.42624313003995,6.30899745098739,0.995997212556776,1.23818449191314e-05,0.0,0.163552960654676,1.78381265825703e-05,0.0,3.45061662445563,58.7840791325271,6.01903209682214,0.100330236831907,0.94910916984682,2.21056101923992
