Date,C/E,Year,Month,Day,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47
1993-01-01,1,1993,1,1,1.569841984154334,-9.986116551431886,0.0920788027346713,1.644837506659563,0.0,0.0,0.0,0.523232506832633,0.0,0.0,1.70419471021639e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.15536088697508,0.0,0.0,0.0,0.0,0.0,0.0,0.0157924717178567,0.0,0.0,0.0581351617022102,-0.0,0.0,0.0016585445358344,0.784920992077167,0.0022557756937774,0.0,0.0,0.0,0.784920992077167,0.0,0.0,0.0,0.0,0.0,-1.23954064824411e-09,6.56876646642634e-12,0.0,0.156836809255543,0.0,0.0,0.0,0.0654100826730973,236.111970001903
1993-01-02,1,1993,1,2,0.2748364961367327,-6.604967540957419,0.3093497706887377,1.546126798082046,0.0,0.0,0.0,0.44029769868324,0.0,0.0,7.93618641448732e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.11632479766013,0.0,7.458038855097311e-20,0.0,4.12275917671737e-36,0.0,0.0,0.0607125457417273,5.72154939873282e-160,0.0,0.126423674457609,-0.0,1.46134001864852e-17,0.0048866392449455,0.137418248068366,0.002268239809395,0.0,0.0,0.0,0.137418426605795,0.0,0.0,1.20792581987404e-35,0.0,0.0,9.52644650582413e-28,2.68750156224189e-10,0.0,0.0245182921144306,0.0,5.086274213072821e-25,0.0,0.0550582424544353,118.264283343936
1993-01-03,1,1993,1,3,3.649878065794455,-3.051570168928209,0.1772613984509315,1.6305167820990945,0.0,0.326676830140405,0.0,1.50989030953396,0.0,0.0,6.18627148085266e-09,0.0,0.0,0.0,0.0,0.0,0.0005560458594076,1.93822524666857,0.0,0.0004590471690221,0.0,0.0041805017951658,0.0,0.0,0.16461647511397,0.0692138332061791,0.0,0.310479981578531,-0.0,0.02535758102284,0.0129813111594756,1.82493903289723,0.0198567098621183,0.0,0.0,0.0,1.82494963875348,0.0,0.0,0.0030610121111255,0.0,0.0,4.52485552803009e-06,2.14782949624878e-09,0.0,0.835957443888447,0.0,0.0821522230769533,0.0,0.188783747711172,59.9474602313754
1993-01-04,1,1993,1,4,2.756074832807597,-7.827591057294012,0.1942572913232665,1.6842194992008526,0.0,0.236320930305491,0.0,1.92491140942225,0.0,0.0,3.13574814227978e-08,0.0,0.0,0.0,0.0,0.0,0.0003560341378302,1.33785454651927,0.0,0.0021424499077053,0.0,0.0090109633299579,0.0,0.0,0.275806214816936,0.125812819786712,0.0,0.571640065882493,-0.0,0.118415826213393,0.0280689403971492,1.3780374164038,0.0361122554161568,0.0,0.0,0.0,1.37804053664802,0.0,0.0,0.0076725029356255,0.0,0.0,0.0001218250702142,1.04762012017242e-08,0.0,1.10644010855357,0.0,0.27002872928221,0.0,0.240692283174279,32.1553749974587
1993-01-05,1,1993,1,5,3.6583556855826727,-10.07797436741998,0.1513781841040196,1.7670751198721364,0.0,0.496586344492989,0.0,2.50234755662199,0.0,0.0,1.06737901127326e-07,0.0,0.0,0.0,0.0,0.0,0.0013161894303617,1.28933032527447,0.0,0.0057369560788999,0.0,0.0211981910460497,0.0,0.0,0.508835455457044,0.281020060646063,0.0,0.902211199159318,-0.0,0.317281977287963,0.0520974009213484,1.82917784279134,0.0674169667162228,0.0,0.0,0.0,1.82917932467641,0.0,0.0,0.0181054103088466,0.0,0.0,0.0011509891111354,4.19486420475613e-08,0.0,1.74460292909517,0.0,0.467849311337036,0.0,0.312893009015451,17.5509277535696
1993-01-06,1,1993,1,6,2.4163193590422622,-8.242384076096078,0.17772073441784,1.7527543953116678,0.0,0.268035623649728,0.0,2.47323216579156,0.0,0.0,2.80549520658765e-07,0.0,0.0,0.0,0.0,0.0,0.0005351021510431,0.912102050505383,0.0,0.0116506196750505,0.0,0.0200895006624224,0.0,0.0,0.672104003161098,0.225065294369621,0.0,1.22365183894288,-0.0,0.489566849053987,0.0845901775756663,1.20815967952113,0.0849242149911418,0.0,0.0,0.0,1.2081601886295,0.0,0.0,0.0207588552999055,0.0,0.0,0.0050778001244098,1.39722718630536e-07,0.0,1.82579785601135,0.0,0.62890299476107,0.0,0.309275312637093,10.0037930973767
1993-01-07,1,1993,1,7,0.2959969985710902,-3.631936451368756,0.2859049805981858,1.878827916888652,0.0,0.107214249459974,0.0,1.74698788713906,0.0,0.0,5.59906758037491e-07,0.0,0.0,0.0,0.0,0.0,0.0002257089887559,0.4355517349789,0.0,0.0195368120396176,0.0,0.0062155507567259,0.0,0.0,0.807674197903781,0.0121932649462413,0.0,1.42458924491704,-0.0,0.623784472372549,0.121596054702169,0.147998499285545,0.0737325172056684,0.0,0.0,0.0,0.147998681473588,0.0,0.0,0.0110785296432193,0.0,0.0,0.0127769308216125,3.93188191252469e-07,0.0,1.08607877585478,0.0,0.746885692440789,0.0,0.218516750031791,4.80928016178779
1993-01-08,1,1993,1,8,4.199922508446129,-6.243622288940079,0.1733154170900841,1.8289611081513053,0.0,0.586866855624492,0.0,2.56418856957752,0.0,0.0,9.75636634889859e-07,0.0,0.0,0.0,0.0,0.0,0.0027016347177373,1.06267573046699,0.0,0.0294722833017851,0.0,0.0409771343569667,0.0,0.0,0.866764685088724,0.521569594800557,0.0,1.64048186971905,-0.0,0.669818666095356,0.163511875410301,2.09996125422307,0.12858822674237,0.0,0.0,0.0,2.09996137633886,0.0,0.0,0.0327135452252497,0.0,0.0,0.0294339495888344,9.52281914680014e-07,0.0,2.10550478447593,0.0,0.829273316826147,0.0,0.320674604539643,2.97907199538338
1993-01-09,1,1993,1,9,0.6811535280585009,-7.965264425634491,0.1714154766436155,1.765029302077784,0.0,0.3275844193358,0.0,1.93617849733754,0.0,0.0,1.62723638664673e-06,0.0,0.0,0.0,0.0,0.0,0.0011076151491617,0.399072154807646,0.0,0.0415900821204715,0.0,0.0139705941928576,0.0,0.0,0.903191895373458,0.076856164683993,0.0,1.76925426688398,-0.0,0.71782443523132,0.20766646653288,0.34057676402925,0.116446126899904,0.0,0.0,0.0,0.340576846207678,0.0,0.0,0.0207137355026084,0.0,0.0,0.0509732943903333,2.03091318849735e-06,0.0,1.43410638476237,0.0,0.885495792086752,0.0,0.242164466695444,3.10648849851578
1993-01-10,1,1993,1,10,3.051182925899845,-7.583518844233787,0.1075111921052453,1.750452850293021,0.0,0.367620999937206,0.0,2.30759867146956,0.0,0.0,2.52188424174361e-06,0.0,0.0,0.0,0.0,0.0,0.0013921997113474,0.762405700694887,0.0,0.0557902847780758,0.0,0.04010656453719,0.0,0.0,1.07413575396974,0.460945932897045,0.0,1.88628910710471,-0.0,0.895659589743651,0.253819799648885,1.52559146294992,0.153961841123513,0.0,0.0,0.0,1.52559151885726,0.0,0.0,0.0348695651572478,0.0,0.0,0.0794767240245244,3.917508472568e-06,0.0,1.94403851353234,0.0,0.923426598169108,0.0,0.288575599709736,1.88150844084481
