Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47
1993-01-01,0.08,-3.48,2.46,8.39,0.0,0.0002568314737227,0.0,0.416907543762214,0.0,0.0952786410799987,0.0137273790102792,0.0,0.0,0.0,0.0,0.0952786410799987,3.35710938469424e-06,0.0051001683627195,6.96774385448719e-14,2.33816877945324e-05,0.0,0.0048524639077211,0.0,0.0,0.591934836568009,8.37126547649554e-19,0.502656643091902,0.800669724920235,-0.0,0.380780787743028,0.0006485190307099,0.0150001661591348,0.323197989017909,0.800669724908077,0.776475104080134,0.770410119395059,0.015,0.380780846542484,0.773229589913626,0.0009133646882981,4.93185361566097e-09,0.0,-0.514488798633283,0.0,0.0,0.0,76.9415819851135,0.112184959649823,0.0020106671116342,0.0560852024511902,229.57689518659
1993-01-02,0.25,-4.28,1.83,7.86,0.0,0.000102732589489,0.0,0.272892376538122,0.0,0.0381114564337659,0.0136969981020886,0.0,0.0,0.0,0.0,0.0381114564337659,1.3428437538777e-06,0.0027480249691492,2.7870975417975202e-14,8.54498580440099e-05,0.0,0.0032349759384807,0.0,0.0,0.403994634733959,7.715133252753411e-19,0.471231428949688,0.693347082094744,-0.0,0.260001803594079,0.0005164038586508,1.66145673731746e-07,0.258027735889144,0.693347082085019,0.671402243852859,0.666796422608302,1.9213289949499e-34,0.26000184418435,0.668918012841347,0.00045668234415,1.82760024018961e-08,0.0,-0.300164416922918,0.0,0.0,0.0,75.0943940454139,0.0826235346471776,4.9404798058612096e-30,0.0373901349674602,106.797449902922
1993-01-03,4.11,5.81,0.8,6.41,0.0,4.10930357956355e-05,0.0,0.185588039018785,0.0,0.0192445825734296,0.0136667572445796,0.0,0.0,0.0,0.0,0.0192445825734296,5.37137501551079e-07,0.0043090788691428,1.1148390167186401e-14,0.0001728633438875,0.0,0.0021566506256537,0.0,0.0,0.289839923527387,7.17753820757752e-19,0.443839682364208,0.588433247025197,-0.0,0.186984970338974,0.0003780740441099,0.0100001661321876,0.207380613645293,0.588433247017374,0.568674288488636,0.565205123376009,0.01,0.186985000489013,0.566786308455868,0.000228341172075,3.75043725727314e-08,0.0,-0.216553421217852,0.0,0.0,0.0,80.2029353170537,0.061666968281827,0.0013345235084633,0.0257600899783068,46.5939133744611
1993-01-04,33.09,10.96,0.44,7.58,0.0,2.00169819223573,0.0,4.0399239709272,0.0,2.3736978329739,0.0136392558866125,0.0,0.0,0.0,0.0,2.3736978329739,0.0211952917314913,0.928110019337502,1.2509096681705898e-11,0.0015711397183152,0.0,0.938909547858424,0.0,0.0,0.345598949449843,2.87849448665551,0.434132855183617,0.924297749905973,-0.0,0.220361458946444,0.0017144001776914,5.91500016611871,1.21224674583213,0.924297749899833,0.905375019518232,0.902357506466745,5.915,0.220361484420511,0.903527822791332,0.63307815481505,7.85089115560784e-08,0.0,-0.163339431974777,7.844044322377219e-11,0.0,0.0,100.17862743391,1.27080593158809,0.792332856687076,0.589881726652205,21.940854379196
1993-01-05,1.01,0.07,1.54,10.3,0.0,2.57537302084155,0.0,6.27520330440504,0.0,3.13347913322712,0.0136201437513391,0.0,0.0,0.0,0.0,3.13347913322712,0.0351887996465206,0.856718788431317,4.53241345040185e-11,0.0066622027676431,0.0,1.28373448988459,0.0,0.0,0.74783604210282,3.65284386976896,0.428480772991932,1.66469611191847,-0.0,0.48447320158783,0.0039751092680771,5.4600001661054,1.96103510241338,1.66469611191564,1.64190366635283,1.63850842144988,5.46,0.484473226758377,1.63936910263358,1.06217321438883,1.80829095443021e-07,0.0,-0.108320042453454,3.2430088189955e-09,0.0,0.0302888068754363,109.492418502621,2.87731034903305,0.733825831643752,0.909087817768136,15.8231122860259
1993-01-06,0.05,-1.68,1.51,11.04,0.0,0.95088191496812,0.0,4.14884334059138,0.0,1.25339165313242,0.0136095888414575,0.0,0.0,0.0,0.0,1.25339165313242,0.0142798594511375,0.0027330144645143,4.10627323496049e-11,0.0157266745230764,0.0,0.271416862563349,0.0,0.0,1.49372168140583,7.1066216958419305e-19,0.426363120025785,2.26663907635444,-0.0,0.990807081396193,0.0049886488851345,1.66091827700566e-07,1.59436606884194,2.26663907631946,2.23836822314708,2.23458217680512,3.79521770654819e-35,0.990807109728061,2.23521164436293,0.63357154216355,3.62730840635871e-07,0.0,-0.088966401616621,2.64164805552156e-08,0.0,0.0,98.1949515136015,2.94177282295254,3.1011105871785803e-31,0.606058545178758,10.0432902694372
1993-01-07,0.26,-2.6,1.24,9.84,0.0,1.05897998274853,0.0,4.66277973070627,0.0,1.65335666141987,0.0136072065664323,0.0,0.0,0.0,0.0,1.65335666141987,0.0112179401325551,0.45296537773993,3.2077958610366594e-11,0.0278269181524192,0.0,0.477485366736981,0.0,0.0,1.80682354449755,1.02303317515381,0.429914212335796,2.79919415429906,-0.0,1.24537745138619,0.0061802063775455,2.88000016607838,1.85826076071551,2.79919415426461,2.7674576640353,2.76283275514309,2.88,1.2453774860465,2.76329102765408,0.533485193924001,6.23934742994789e-07,0.0,-0.077918129095272,1.10138801375467e-07,0.0,0.319615308931205,96.4833053490462,2.83894193410534,0.387475341884793,0.644039030119172,3.45979450813236
1993-01-08,1.8,-3.07,1.67,7.98,0.0,4.26488658915803,0.0,8.03170365260082,0.0,5.20890444087854,0.0136219536730357,0.0,0.0,0.0,0.0,5.20890444087854,0.079812839177759,1.16164980383371,9.0721787189947e-11,0.0445947456154548,0.0,1.86646317744146,0.0,0.0,1.89112731531983,5.87039523636354,0.445184533264168,3.61711784073943,-0.0,1.27430469294545,0.0311786330394654,7.41500016607258,2.95092677113066,3.6171178406711,3.58447723143971,3.57692120416825,7.415,1.27430473666435,3.57725355432088,1.27398127630647,1.01744082468333e-06,0.0,-0.0241219543387556,3.19743981444363e-07,0.0,4.6003777971535,99.7321952138848,4.38964757265892,1.3672834074156,1.18956768674611,5.65605632238838
1993-01-09,0.43,-4.24,3.26,6.22,0.0,1.57550189897478,0.0,5.66150544779681,0.0,2.83593629405866,0.0136689183835013,0.0,0.0,0.0,0.0,2.83593629405866,0.0326572689659263,0.0785066166225069,2.02429975626685e-10,0.0667118516227513,0.0,0.371030502495474,0.0,0.0,2.42711138916963,3.2049982152451398e-12,0.459893092643511,4.20679455625176,-0.0,1.62621038215311,0.0707880499304717,0.485000166056948,2.50513912406892,4.20679455619167,4.17397588111921,4.16372557855665,0.485,1.62621043104312,4.1639657446391,0.818351732555029,1.58673284913493e-06,0.0,1.49491579366968e-08,7.62833819264987e-07,0.0,1.8977613390768,92.5448023777547,4.18398242746677,0.0657178620096574,0.833461791159944,7.84310406117358
1993-01-10,10.88,-6.27,1.01,4.89,0.0,0.630200759580695,0.0,3.85160126247962,0.0,1.19237451756908,0.0137437195293873,0.0,0.0,0.0,0.0,1.19237451756908,0.0140045795466392,0.0253700574781171,8.09719902617636e-11,0.0923818571132972,0.0,0.247353673996596,0.0,0.0,2.9274629062494,8.450203208339181e-19,0.473161690694208,4.42630235813575,-0.0,2.05832248459347,0.104601406448236,0.145000166046614,2.10793130808082,4.42630235810645,4.39169015280495,4.37984604692998,0.145,2.05832253627127,4.38001898964691,0.420681542493573,2.30726043678969e-06,0.0,1.24822164579887e-05,1.65855610810302e-06,0.0,0.0,85.6598738166431,3.41809697450962,0.0196439577833789,0.567724527444095,1.22951696094764
