Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1993-01-01,1.31,-7.98,0.46,0.25,0.0,0.10179854242592201,0.0,2.14451784451532,0.271166367476134,5.870715203074759e-20,0.0227416253116675,-1.26869910872269e-16,0.0,9.93821316541542e-13,0.000311641941291064,1.5862809490135,0.00866591683139334,0.0971467543532984,2.6897340067001502e-11,0.9165794285435059,0.0,0.0484436144073914,0.0,0.0,0.8763447632805501,0.5613979197694999,0.26855164656161,0.962843343450122,4.59274725839488e-29,1.13674813538507,0.468984512187181,0.46177194815114,0.8443488294718109,0.928367443827659,0.8612024595084541,0.552807610675582,0.127510163375191,0.0147622858674472,0.011196558173681998,0.612233195135669,9.66681721503499e-05,2.25437621446395e-11,-1.12418454228742,1.6587569677587,4.27286852565575,0.663955313580111,0.953966165691356
1993-01-02,0.49,-7.48,0.31,0.25,0.0,0.0441641212229534,0.0,1.6388980889764,0.264656667520656,2.2233611724419398e-20,0.022733544424472,-3.4133632126105703e-17,0.0,9.83146422318456e-13,0.00031004997876643597,0.8146915544371679,0.008927150357904229,0.0363765455332124,1.30241609960603e-11,0.953960141329889,0.0,0.0251559417174248,0.0,0.0,1.20808760860899,0.125582041741746,0.270523512589268,0.974877783247949,4.59274725839488e-29,1.2109637013266001,0.525273415938859,0.178882202433814,0.783942206297455,1.06481257094294,1.0114041686229398,0.605949539548271,0.0502050927195494,0.0141576582790743,0.0111322454483791,0.476976776131475,0.000101924972689892,2.62801264406402e-11,-1.08689708744547,0.958550333152247,2.64794771280889,0.8184213915210551,0.593896969235707
1993-01-03,7.73,-3.13,0.92,0.25,0.0,0.597669086920429,0.0,3.4955220041112702,0.253078578314951,8.42032824302799e-21,0.0227612938197988,-1.10666872741941e-14,0.0,9.714580662761981e-13,0.00030847203405261897,0.303305213629883,0.0106402558951517,0.5729200544031751,-6.55866663967663e-11,0.991987546497577,0.0,0.275538401942045,0.0,0.0,1.4056876768692401,4.4265106712261595,0.27317707553885,0.9878541092857871,4.59274725839488e-29,1.22867855992897,0.605327739390321,2.6771730791864,1.4009256721051397,1.0761886418559399,1.0525217651129202,0.571805440949265,0.7152915344344171,0.013653068396357,0.0110774449891509,0.545545007620586,0.00010718644007054699,8.662056597591071e-12,-1.04091739610665,3.10779274459819,1.6696302639753402,0.944404598725961,1.8322418771508
1993-01-04,5.03,-3.88,1.15,0.25,0.0,0.306377122194968,0.0,3.95970226883048,0.24481942923903896,-3.69203086599296e-20,0.0228008282288003,1.7095363196418303e-14,0.0,9.59549602278757e-13,0.000306907965527073,0.11291887361198802,0.0103193243505066,0.372824363346084,1.47368827396704e-11,1.0314721438497199,0.0,0.175256773060433,0.0,0.0,1.53813844477903,2.6377594970743,0.276451375754053,1.00184020140443,4.59274725839488e-29,1.3450364044374998,0.7095440208363589,1.74602612331206,1.6731854628219398,1.00431067498263,1.01206120119347,0.49173168205181705,0.6654616268886929,0.0132310679719756,0.011030376357696001,0.85875584524624,0.000112573100958793,7.39554105805398e-12,-0.9951772029077192,3.14707229544098,1.0743232289076001,1.03972874568388,2.0245339582335
1993-01-05,5.6,-9.6,0.7,0.25,0.0,0.320611304201326,0.0,4.45754674021192,0.23249579531577,2.61267770913897e-20,0.022849311735209,-3.7713847606048e-15,0.0,9.48580084273001e-13,0.000305357596654486,0.0420390796108057,0.0106084190638044,0.41506193598590796,-1.1862731886386e-11,1.07268132682688,0.0,0.221673876331712,0.0,0.0,1.90911519726921,3.2759945939690094,0.280475844197551,1.01723643134674,4.5927847505940096e-29,1.51775821403932,0.836994221616527,1.9432852515768702,1.98259172250875,0.8898620426473149,0.9214736772627309,0.397848115532851,1.18421544968993,0.0128779179383564,0.0109896021361233,0.8925533598785359,0.000118099679880229,9.34063337402069e-12,-0.9480620653475229,3.74236108286031,0.7072101203317329,1.11047250415197,2.26596084159377
1993-01-06,0.31,-13.84,0.29,0.23,0.0,0.17129134507902696,0.0,3.1903884118295496,0.21930707221714502,9.89475042421024e-21,0.0229660455938887,1.58223603333823e-14,0.0,9.38468125813505e-13,0.000303820765117925,0.0156509196193515,0.0105468382279312,0.0230360922186521,3.8652547991192796e-11,1.1153592228303402,0.0,0.0296280571589106,0.0,0.0,2.2839849613703103,0.0419643905961773,0.284564983825831,1.03297353005069,4.59274725839488e-29,1.6172597142607001,0.9607671679849491,0.11826123847030699,1.7687918094189599,0.7608420955225679,0.8063568510585971,0.308644427329989,0.6724442565443951,0.0125823022560355,0.0109539594981922,0.8288803819730469,0.00012374292163493401,2.36823346714713e-11,-0.909076080140334,2.34860281940963,0.47709045331508204,1.1627027290176102,1.40890138944769
1993-01-07,0.64,-14.24,0.37,0.23,0.0,0.0743127705783981,0.0,2.41088806353861,0.21237372274343397,3.7473464719716494e-21,0.0231412268557066,9.14849477329558e-15,0.0,9.28298485742351e-13,0.000302297279028751,0.00582675185107049,0.0107121903953087,0.0474907239455021,1.87162376164789e-11,1.15868566536009,0.0,0.0345774317785426,0.0,0.0,2.2258034482229,0.1785408434341,0.288332953941934,1.0483855840916,4.59274725839488e-29,1.62981168460478,1.0622705722371502,0.232288122527637,1.6377136130239098,0.633368489857916,0.684556258772173,0.23213939523331,0.6625494827509579,0.0123341433793326,0.0109225060070038,0.54732292195593,0.000129475430353505,2.69095152833944e-11,-0.8737504100223591,1.2575303637726598,0.33002482346621903,1.20121027326885,0.8773860935048442
1993-01-08,1.62,-12.88,0.34,0.23,0.0,0.0322397367391203,0.0,2.16872511433853,0.20516849790980302,1.41919755213221e-21,0.0233079780511143,5.293221482834601e-15,0.0,9.18247460127006e-13,0.000300786974362664,0.00216926787494677,0.0109769501122706,0.120113108016761,9.06272855792894e-12,1.2018870030731201,0.0,0.0728000382013593,0.0,0.0,2.07714526520976,0.8477345405771941,0.291624521054582,1.06340688214141,4.59274725839488e-29,1.5525080262942499,1.13887369371452,0.570602262170752,1.60897789259885,0.5167249445482539,0.5675271752630229,0.17050925873840198,0.78448409631744,0.0121257734077073,0.0108944765448815,0.443339286529988,0.000135273929031361,1.41342459421315e-11,-0.8386873319703729,1.10226174401548,0.233942200385783,1.22958971689439,0.702843072511099
1993-01-09,0.82,-12.66,0.48,0.22,0.0,0.0139868372140861,0.0,1.7561496526858402,0.19523415345431802,5.37479442331456e-22,0.0234569408798742,3.0541055923690004e-15,0.0,9.082024874062281e-13,0.000299289726184346,0.000807606575460743,0.0112852567125277,0.0608286233805172,4.38833116984931e-12,1.2449090371471,0.0,0.039229248426568,0.0,0.0,1.8253529877163401,0.248131257073397,0.294355020522413,1.07775180086027,4.59274725839488e-29,1.4932278825743501,1.18937737512137,0.294672070965599,1.49151834270019,0.414900242259466,0.461603826228484,0.12289576165420402,0.667056893104683,0.0119511061425673,0.0108692489850621,0.4160211455288,0.00014112026229991698,2.9222431485914996e-11,-0.8057952656128929,0.6540493709743339,0.169639992547337,1.25050274394988,0.438953856745819
1993-01-10,0.03,-15.35,0.54,0.25,0.0,0.00606802769006364,0.0,1.22851306400234,0.190444502756798,2.0355457243772099e-22,0.023570398646322998,1.7600865408996e-15,0.0,8.981340739984731e-13,0.000297805338013533,0.000300667514934156,0.0116125617701148,0.00228624665415,2.12490645981256e-12,1.28785965919629,0.0,0.0223505869691661,0.0,0.0,1.58865372606446,2.50514269271379e-15,0.29651619147107394,1.09112928131157,4.59274725839488e-29,1.4330297395391398,1.2105223836288401,0.0221081835211174,1.30485524452125,0.328983191899428,0.36963579396430396,0.08722039721232301,0.493784440070009,0.0118046164587722,0.0108463167522576,0.346529881131344,0.00014700032089477,2.9334745966477107e-11,-0.774977183894967,0.20882010865283898,0.125515987393911,1.2659132760131002,0.27300995773610504
1993-01-11,0.73,-13.29,0.5,0.26,0.0,0.00263254368974115,0.0,1.0758035579673102,0.18244736380040102,7.7090323269985e-23,0.023695532074225,1.0152722277935e-15,0.0,8.882519335433221e-13,0.00029633366536042796,0.00011193687282128601,0.0119464666065458,0.0541582563125712,1.02891675404439e-12,1.3307718257682801,0.0,0.0216627797380273,0.0,0.0,1.35146449853298,0.00144917274632354,0.298129203562973,1.10361400713936,4.59274725839488e-29,1.3585197130155802,1.20807399855997,0.26366820441634,1.20001035550521,0.258321589148696,0.292198916128027,0.0611168718056572,0.488051399707646,0.0116812923793392,0.010825266830152001,0.29192339074483303,0.000152903085701929,2.88904610071892e-11,-0.7453204057317521,0.20840552720423602,0.09447862753908001,1.27726900504737,0.171645659044455
1993-01-12,1.28,-13.05,0.2,0.25,0.0,0.00114209865748376,0.0,1.1379311581976002,0.173458420467331,2.91956985819569e-23,0.0238241095737472,5.89051343292436e-16,0.0,8.788342350515991e-13,0.000294874541185456,4.16734860784596e-05,0.0122853581370467,0.0949139929707523,4.982194307257299e-13,1.3737459385488,0.0,0.0525367805138662,0.0,0.0,1.08119264633517,0.669501668271957,0.29924529394792604,1.1155044354456498,4.59274725839488e-29,1.29060712916526,1.1935422582811699,0.45351010032168604,1.14863753875733,0.20141925448219697,0.22853541152636103,0.0423833787842399,0.532427779100492,0.0115766064176393,0.0108057620897985,0.28843412820268,0.000158821533298331,1.42814829416778e-11,-0.714713327773259,0.523578479388615,0.0721305336618148,1.28563680899188,0.19140534799323
