Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1993-01-01,17.19,8.37,0.98,2.72,0.0,2.4327956536391,0.0,7.98818971955759,0.0670490828646301,7.90913459553433,0.0147507787252942,0.0,0.00726350839825705,0.0,0.0,5.908693947017571,0.159834561907819,0.517237200301901,5.19557550550534e-10,0.7962804533092791,0.0,1.53387027575084,5.497531989799389e-10,0.0,0.599205422408731,7.02249044421565,0.633329470990595,1.3920485657356,-0.0,0.43523073758004605,0.0753743888320204,4.31265872328731,2.5839885514497003,1.22991205861706,0.963438110077894,0.226053901845607,8.80462080602362,0.5726069278647271,1.0333238302585501,1.90143593010341e-05,0.028409291105517997,6.05473637020644e-13,-0.17935528935240802,4.886385527777691,46.5429111931992,0.172439629799333,0.5710735116321701
1993-01-02,0.0,5.2,1.42,0.9,0.0,1.18764966348487,0.0,4.2055030730175496,0.0647566057436483,3.3653444357481,0.0148942534914068,0.0,0.007224942073584241,0.0,0.0,3.2443345166232698,0.0652785093055819,6.24250229277249e-05,-2.80117132644505e-10,0.825838336538029,0.0,0.225445230357995,5.49964230585444e-10,0.0,0.9834482988660941,1.29778428683182e-14,0.650043298089244,1.50848314281396,-0.0,0.47084655590377,0.0771241128704346,0.42884504024494396,2.20372612145706,1.8468763631238703,1.1970514355188702,0.321547026422084,0.00306557221983344,0.687874472672811,1.05489744350692,0.308967302576171,0.0295807356245396,1.2467630321606499e-12,-0.137668177707646,1.9817184884836299,35.8060122977028,3.5525416561877,0.30768735219008597
1993-01-03,0.0,4.68,1.62,0.42,0.0,0.8091120900252711,0.0,2.2096834414599305,0.06411995891359099,1.14097958881899,0.015150566503331998,0.0,0.00718669851677032,0.0,0.0,1.4758972675515902,0.0329526280346455,6.242160193441479e-05,-1.28803174610888e-10,0.8574436183891401,0.0,0.13495402800737402,5.497513242264751e-10,0.0,1.15722051941489,1.29897599867943e-14,0.663715944016332,1.6154004287941497,-0.0,0.533745386279416,0.0791040975290327,0.433887215987844,1.8685263030456498,2.1782555903003002,1.37880394005793,0.38881705568596503,0.00288342697129833,0.8913830814259199,1.07538175088599,0.154483651288086,0.0307957692241864,1.2548065809784798e-12,-0.10981609865419999,0.454831908281108,29.0531310064886,3.45354681510564,0.169045350374518
1993-01-04,0.0,4.05,1.28,0.28,0.0,0.5274503743460739,0.0,1.16493283918663,0.0610373438526018,0.386835419604048,0.0155727720367562,0.0,0.00714877379502241,0.0,0.0,0.5740066863485029,0.0129073435053394,6.24181813160321e-05,-5.92261445532417e-11,0.8902894967319269,0.0,0.0807849854430171,5.49750091094206e-10,0.0,1.06759466098895,1.3003774153620501e-14,0.677580373645645,1.6873094101965702,-0.0,0.61412486665189,0.0812571380761917,0.420793806135391,1.5285854390791003,2.2398788753098704,1.48286775141092,0.421073531539743,0.00271490427645877,1.17149271490038,1.09195778209135,0.0772418256440428,0.0320491478790856,1.25296816244351e-12,-0.0887253356674587,0.0,24.254960978017,2.65590976292894,0.0954127012961751
1993-01-05,1.59,3.48,0.83,0.22,0.0,0.3444339611946581,0.0,1.35178708621818,0.0604151651292007,0.131151892764853,0.0162238512453986,0.0,0.00711116455326262,0.0,0.0,0.641624878338762,0.004803051853009679,0.0478968963831084,-2.72333054619055e-11,0.9238861864928241,0.0,0.10341041502317899,5.49748885215398e-10,0.0,1.01415038236838,2.42452910029162e-12,0.6925958946079589,1.73335946576932,-0.0,0.7059914915213509,0.0835445593662283,0.759217794127257,1.4231258704711598,2.18548361812282,1.5392728844517902,0.433391170285546,0.8166454621462591,1.18705901929742,1.1060659163618,0.0386209128220214,0.0333390316738268,1.2274111343447801e-12,-0.0710290181126056,0.33547456946613896,21.342178575601398,1.92802654342985,0.0604466724796661
1993-01-06,17.68,6.71,0.48,0.4,0.0,3.0723750336299402,0.0,8.918520063827721,0.058908363911774,8.83180645691804,0.0166990379770223,0.0,0.0393048713980888,0.0,0.0,6.66145088711474,0.24756977669341101,0.5319524194825209,-1.41498071049957e-09,0.9585944861150171,0.0,1.8831156381848402,5.49747714829091e-10,0.0,1.1525147333356,8.73574672007024,0.76053514945924,1.9210294364341,-0.0,0.7555198798846801,0.0862424667194405,5.00016503445162,3.7643040958421006,2.81487166556987,1.8292775693103103,0.5388562803739829,9.94893033051203,1.12431200126204,1.14103081857278,0.0193104564110107,0.0347319472288594,6.785373979249589e-13,1.34581546027828e-07,6.5184801078806105,32.9113528718228,5.554529507257099,0.6273844381871011
1993-01-07,14.92,9.6,0.27,3.93,0.0,4.35134329082508,0.0,11.683846381589198,0.0575360254152279,11.8591833748226,0.0172789614107218,0.0,0.527258277930512,0.0,0.0,9.565701795736539,0.390118847359401,0.448915290264623,3.11010471237346e-10,0.994353660857757,0.0,2.0584653029654802,5.497465447685031e-10,0.0,1.69156470508113,8.162209868373111,0.8749715228734579,2.27338259726517,-0.0,0.9055263918476372,0.0896941701724167,5.11032468788906,5.48392593241874,3.97304868883896,2.371552256761,0.733075781586605,10.1510903427482,1.24022168179901,1.20052202279582,0.39788707422263503,0.0363646466995655,6.17892515992835e-13,0.00280288447586604,9.44366458100778,43.1970780163338,8.62470855964609,0.8009364562789171
1993-01-08,2.76,7.86,1.07,2.92,0.0,2.48913965560702,0.0,7.44511476355068,0.0549028055012588,7.003046240296429,0.0183097028731015,0.0,0.636343008849299,0.0,0.0,6.70247676231498,0.15338265239937499,0.0830933344124948,5.848147269136659e-10,1.0305398780060602,0.0,0.699526947115939,5.497453761476251e-10,0.0,2.2635923372661,1.00977731516063,0.968517560509708,2.65174677174857,-0.0,1.1462166446233601,0.0939961391949849,2.02832271853787,5.04442986447686,4.86094012011734,2.8999303514701005,0.909413957927285,3.23241313250178,1.5704304118391499,1.2661114812543899,0.6086386984314611,0.0382286991382613,3.4690775697309495e-13,0.0398896584576237,5.902920936708571,40.1101081543943,7.61298206717865,0.44524133531137505
1993-01-09,3.55,5.98,1.27,1.61,0.0,1.98231872918024,0.0,5.5590677561408794,0.0636666645724222,4.75106973876342,0.0201654905093739,0.0,0.798335669418062,0.0,0.0,5.09467764331255,0.0872169513399752,0.10685835456983699,2.67360402415176e-10,1.06749531845802,0.0,0.665443895230445,5.49744204754873e-10,0.0,2.3502368739598,1.3183019625778798,0.999038971543043,2.99741363621157,-0.0,1.4504988354701103,0.099128853319759,2.3488085644509598,4.73777095000555,5.35375409656823,3.3256369636923795,1.03836832220678,3.17254313662107,2.10157465991776,1.33087278500786,0.355163203076264,0.0402361195947496,3.72071921869593e-13,0.135269413629108,4.07129515607669,35.3703722972005,6.13127901075647,0.260980868782857
1993-01-10,1.63,5.35,1.49,1.11,0.0,1.51416804673693,0.0,3.67310377931251,0.11565866034433302,2.52943133584677,0.0233857038894625,0.0,0.81880401200893,0.0,0.0,3.29339597031478,0.0400968256196986,0.0490977921144014,1.24869515532014e-10,1.10524050063097,0.0,0.36498922890255,5.49743040267834e-10,0.0,2.29548137620553,0.156920624968117,0.99911945635363,3.2669856147577296,-0.0,1.8000009214900299,0.10497961170039,1.8296247193200998,4.08866473811262,5.42969237490057,3.59464054508806,1.10499297273045,1.68620315151142,2.44499622851766,1.3893050005248702,0.24260927493522602,0.0423679479079353,8.302890165896178e-13,0.22675097101922798,2.0730508826769,30.791498802804103,4.30384356010625,0.158508548687833
